BODY,STOPWORDS,LEMMATIZED,STEMMED,BIGRAMS,TRIGRAMS
i hate these satisfaction reports it reminds me of being just a number thank god the staff knows how to treat a client,i hate these satisfaction reports it reminds me of being just a number thank god the staff knows how to treat a client,I hate these satisfaction report it remind I of be just a number thank god the staff know how to treat a client,i hate these satisfact report it remind i of be just a number thank god the staff know how to treat a client,"('i', 'hate'), ('hate', 'these'), ('these', 'satisfact'), ('satisfact', 'report'), ('report', 'it'), ('it', 'remind'), ('remind', 'i'), ('i', 'of'), ('of', 'be'), ('be', 'just'), ('just', 'a'), ('a', 'number'), ('number', 'thank'), ('thank', 'god'), ('god', 'the'), ('the', 'staff'), ('staff', 'know'), ('know', 'how'), ('how', 'to'), ('to', 'treat'), ('treat', 'a'), ('a', 'client')","('i', 'hate', 'these'), ('hate', 'these', 'satisfact'), ('these', 'satisfact', 'report'), ('satisfact', 'report', 'it'), ('report', 'it', 'remind'), ('it', 'remind', 'i'), ('remind', 'i', 'of'), ('i', 'of', 'be'), ('of', 'be', 'just'), ('be', 'just', 'a'), ('just', 'a', 'number'), ('a', 'number', 'thank'), ('number', 'thank', 'god'), ('thank', 'god', 'the'), ('god', 'the', 'staff'), ('the', 'staff', 'know'), ('staff', 'know', 'how'), ('know', 'how', 'to'), ('how', 'to', 'treat'), ('to', 'treat', 'a'), ('treat', 'a', 'client')"
i was surprised at the speed in which everything was accomplished,i was surprised at the speed in which everything was accomplished,I be surprised at the speed in which everything be accomplish,i be surpris at the speed in which everyth be accomplish,"('i', 'be'), ('be', 'surpris'), ('surpris', 'at'), ('at', 'the'), ('the', 'speed'), ('speed', 'in'), ('in', 'which'), ('which', 'everyth'), ('everyth', 'be'), ('be', 'accomplish')","('i', 'be', 'surpris'), ('be', 'surpris', 'at'), ('surpris', 'at', 'the'), ('at', 'the', 'speed'), ('the', 'speed', 'in'), ('speed', 'in', 'which'), ('in', 'which', 'everyth'), ('which', 'everyth', 'be'), ('everyth', 'be', 'accomplish')"
the technician who did my mammogram rachel was lovely kind and clear but the woman who did my ultrasound she never offered her name was quite the opposite gruff not especially kind and not a great communicator the whole experience left me incredibly uneasy and frankly in tears,the technician who did my mammogram rachel was lovely kind and clear but the woman who did my ultrasound she never offered her name was quite the opposite gruff not especially kind and not a great communicator the whole experience left me incredibly uneasy and frankly in tears,the technician who do my mammogram rachel be lovely kind and clear but the woman who do my ultrasound she never offer her name be quite the opposite gruff not especially kind and not a great communicator the whole experience leave I incredibly uneasy and frankly in tear,the technician who do my mammogram rachel be love kind and clear but the woman who do my ultrasound she never offer her name be quit the opposit gruff not especi kind and not a great communic the whole experi leav i incred uneasi and frank in tear,"('the', 'technician'), ('technician', 'who'), ('who', 'do'), ('do', 'my'), ('my', 'mammogram'), ('mammogram', 'rachel'), ('rachel', 'be'), ('be', 'love'), ('love', 'kind'), ('kind', 'and'), ('and', 'clear'), ('clear', 'but'), ('but', 'the'), ('the', 'woman'), ('woman', 'who'), ('who', 'do'), ('do', 'my'), ('my', 'ultrasound'), ('ultrasound', 'she'), ('she', 'never'), ('never', 'offer'), ('offer', 'her'), ('her', 'name'), ('name', 'be'), ('be', 'quit'), ('quit', 'the'), ('the', 'opposit'), ('opposit', 'gruff'), ('gruff', 'not'), ('not', 'especi'), ('especi', 'kind'), ('kind', 'and'), ('and', 'not'), ('not', 'a'), ('a', 'great'), ('great', 'communic'), ('communic', 'the'), ('the', 'whole'), ('whole', 'experi'), ('experi', 'leav'), ('leav', 'i'), ('i', 'incred'), ('incred', 'uneasi'), ('uneasi', 'and'), ('and', 'frank'), ('frank', 'in'), ('in', 'tear')","('the', 'technician', 'who'), ('technician', 'who', 'do'), ('who', 'do', 'my'), ('do', 'my', 'mammogram'), ('my', 'mammogram', 'rachel'), ('mammogram', 'rachel', 'be'), ('rachel', 'be', 'love'), ('be', 'love', 'kind'), ('love', 'kind', 'and'), ('kind', 'and', 'clear'), ('and', 'clear', 'but'), ('clear', 'but', 'the'), ('but', 'the', 'woman'), ('the', 'woman', 'who'), ('woman', 'who', 'do'), ('who', 'do', 'my'), ('do', 'my', 'ultrasound'), ('my', 'ultrasound', 'she'), ('ultrasound', 'she', 'never'), ('she', 'never', 'offer'), ('never', 'offer', 'her'), ('offer', 'her', 'name'), ('her', 'name', 'be'), ('name', 'be', 'quit'), ('be', 'quit', 'the'), ('quit', 'the', 'opposit'), ('the', 'opposit', 'gruff'), ('opposit', 'gruff', 'not'), ('gruff', 'not', 'especi'), ('not', 'especi', 'kind'), ('especi', 'kind', 'and'), ('kind', 'and', 'not'), ('and', 'not', 'a'), ('not', 'a', 'great'), ('a', 'great', 'communic'), ('great', 'communic', 'the'), ('communic', 'the', 'whole'), ('the', 'whole', 'experi'), ('whole', 'experi', 'leav'), ('experi', 'leav', 'i'), ('leav', 'i', 'incred'), ('i', 'incred', 'uneasi'), ('incred', 'uneasi', 'and'), ('uneasi', 'and', 'frank'), ('and', 'frank', 'in'), ('frank', 'in', 'tear')"
very professional with caring attitude a pleasant atmosphere,very professional with caring attitude a pleasant atmosphere,very professional with caring attitude a pleasant atmosphere,veri profession with care attitud a pleasant atmospher,"('veri', 'profession'), ('profession', 'with'), ('with', 'care'), ('care', 'attitud'), ('attitud', 'a'), ('a', 'pleasant'), ('pleasant', 'atmospher')","('veri', 'profession', 'with'), ('profession', 'with', 'care'), ('with', 'care', 'attitud'), ('care', 'attitud', 'a'), ('attitud', 'a', 'pleasant'), ('a', 'pleasant', 'atmospher')"
very efficient process with very nice personnel the technicians are excellent i give your operation an a+,very efficient process with very nice personnel the technicians are excellent i give your operation an a+,very efficient process with very nice personnel the technician be excellent I give your operation an a+,veri effici process with veri nice personnel the technician be excel i give your oper an a+,"('veri', 'effici'), ('effici', 'process'), ('process', 'with'), ('with', 'veri'), ('veri', 'nice'), ('nice', 'personnel'), ('personnel', 'the'), ('the', 'technician'), ('technician', 'be'), ('be', 'excel'), ('excel', 'i'), ('i', 'give'), ('give', 'your'), ('your', 'oper'), ('oper', 'an'), ('an', 'a+')","('veri', 'effici', 'process'), ('effici', 'process', 'with'), ('process', 'with', 'veri'), ('with', 'veri', 'nice'), ('veri', 'nice', 'personnel'), ('nice', 'personnel', 'the'), ('personnel', 'the', 'technician'), ('the', 'technician', 'be'), ('technician', 'be', 'excel'), ('be', 'excel', 'i'), ('excel', 'i', 'give'), ('i', 'give', 'your'), ('give', 'your', 'oper'), ('your', 'oper', 'an'), ('oper', 'an', 'a+')"
my technician who i unfortunately can not remember her name was excellent i wish i got her every time she talked with me put me at ease and did a great job at sticking me i hardly felt anything very patient i absolutely feel she is in the right field of helping people this is not to take away from anyone else because they are all good but she was exceptional im a believer of acknowledging good people thats why i would always recommend going to this office in shelton,my technician who i unfortunately can not remember her name was excellent i wish i got her every time she talked with me put me at ease and did a great job at sticking me i hardly felt anything very patient i absolutely feel she is in the right field of helping people this is not to take away from anyone else because they are all good but she was exceptional im a believer of acknowledging good people thats why i would always recommend going to this office in shelton,my technician who I unfortunately can not remember her name be excellent I wish I get she every time she talk with I put I at ease and do a great job at stick I I hardly feel anything very patient I absolutely feel she be in the right field of help people this be not to take away from anyone else because they be all good but she be exceptional I m a believer of acknowledge good people that s why I would always recommend go to this office in shelton,my technician who i unfortun can not rememb her name be excel i wish i get she everi time she talk with i put i at eas and do a great job at stick i i hard feel anyth veri patient i absolut feel she be in the right field of help peopl this be not to take away from anyon els becaus they be all good but she be except i m a believ of acknowledg good peopl that s whi i would alway recommend go to this offic in shelton,"('my', 'technician'), ('technician', 'who'), ('who', 'i'), ('i', 'unfortun'), ('unfortun', 'can'), ('can', 'not'), ('not', 'rememb'), ('rememb', 'her'), ('her', 'name'), ('name', 'be'), ('be', 'excel'), ('excel', 'i'), ('i', 'wish'), ('wish', 'i'), ('i', 'get'), ('get', 'she'), ('she', 'everi'), ('everi', 'time'), ('time', 'she'), ('she', 'talk'), ('talk', 'with'), ('with', 'i'), ('i', 'put'), ('put', 'i'), ('i', 'at'), ('at', 'eas'), ('eas', 'and'), ('and', 'do'), ('do', 'a'), ('a', 'great'), ('great', 'job'), ('job', 'at'), ('at', 'stick'), ('stick', 'i'), ('i', 'i'), ('i', 'hard'), ('hard', 'feel'), ('feel', 'anyth'), ('anyth', 'veri'), ('veri', 'patient'), ('patient', 'i'), ('i', 'absolut'), ('absolut', 'feel'), ('feel', 'she'), ('she', 'be'), ('be', 'in'), ('in', 'the'), ('the', 'right'), ('right', 'field'), ('field', 'of'), ('of', 'help'), ('help', 'peopl'), ('peopl', 'this'), ('this', 'be'), ('be', 'not'), ('not', 'to'), ('to', 'take'), ('take', 'away'), ('away', 'from'), ('from', 'anyon'), ('anyon', 'els'), ('els', 'becaus'), ('becaus', 'they'), ('they', 'be'), ('be', 'all'), ('all', 'good'), ('good', 'but'), ('but', 'she'), ('she', 'be'), ('be', 'except'), ('except', 'i'), ('i', 'm'), ('m', 'a'), ('a', 'believ'), ('believ', 'of'), ('of', 'acknowledg'), ('acknowledg', 'good'), ('good', 'peopl'), ('peopl', 'that'), ('that', 's'), ('s', 'whi'), ('whi', 'i'), ('i', 'would'), ('would', 'alway'), ('alway', 'recommend'), ('recommend', 'go'), ('go', 'to'), ('to', 'this'), ('this', 'offic'), ('offic', 'in'), ('in', 'shelton')","('my', 'technician', 'who'), ('technician', 'who', 'i'), ('who', 'i', 'unfortun'), ('i', 'unfortun', 'can'), ('unfortun', 'can', 'not'), ('can', 'not', 'rememb'), ('not', 'rememb', 'her'), ('rememb', 'her', 'name'), ('her', 'name', 'be'), ('name', 'be', 'excel'), ('be', 'excel', 'i'), ('excel', 'i', 'wish'), ('i', 'wish', 'i'), ('wish', 'i', 'get'), ('i', 'get', 'she'), ('get', 'she', 'everi'), ('she', 'everi', 'time'), ('everi', 'time', 'she'), ('time', 'she', 'talk'), ('she', 'talk', 'with'), ('talk', 'with', 'i'), ('with', 'i', 'put'), ('i', 'put', 'i'), ('put', 'i', 'at'), ('i', 'at', 'eas'), ('at', 'eas', 'and'), ('eas', 'and', 'do'), ('and', 'do', 'a'), ('do', 'a', 'great'), ('a', 'great', 'job'), ('great', 'job', 'at'), ('job', 'at', 'stick'), ('at', 'stick', 'i'), ('stick', 'i', 'i'), ('i', 'i', 'hard'), ('i', 'hard', 'feel'), ('hard', 'feel', 'anyth'), ('feel', 'anyth', 'veri'), ('anyth', 'veri', 'patient'), ('veri', 'patient', 'i'), ('patient', 'i', 'absolut'), ('i', 'absolut', 'feel'), ('absolut', 'feel', 'she'), ('feel', 'she', 'be'), ('she', 'be', 'in'), ('be', 'in', 'the'), ('in', 'the', 'right'), ('the', 'right', 'field'), ('right', 'field', 'of'), ('field', 'of', 'help'), ('of', 'help', 'peopl'), ('help', 'peopl', 'this'), ('peopl', 'this', 'be'), ('this', 'be', 'not'), ('be', 'not', 'to'), ('not', 'to', 'take'), ('to', 'take', 'away'), ('take', 'away', 'from'), ('away', 'from', 'anyon'), ('from', 'anyon', 'els'), ('anyon', 'els', 'becaus'), ('els', 'becaus', 'they'), ('becaus', 'they', 'be'), ('they', 'be', 'all'), ('be', 'all', 'good'), ('all', 'good', 'but'), ('good', 'but', 'she'), ('but', 'she', 'be'), ('she', 'be', 'except'), ('be', 'except', 'i'), ('except', 'i', 'm'), ('i', 'm', 'a'), ('m', 'a', 'believ'), ('a', 'believ', 'of'), ('believ', 'of', 'acknowledg'), ('of', 'acknowledg', 'good'), ('acknowledg', 'good', 'peopl'), ('good', 'peopl', 'that'), ('peopl', 'that', 's'), ('that', 's', 'whi'), ('s', 'whi', 'i'), ('whi', 'i', 'would'), ('i', 'would', 'alway'), ('would', 'alway', 'recommend'), ('alway', 'recommend', 'go'), ('recommend', 'go', 'to'), ('go', 'to', 'this'), ('to', 'this', 'offic'), ('this', 'offic', 'in'), ('offic', 'in', 'shelton')"
the service from the front desk right through to the ct scan was warm friendly and competent,the service from the front desk right through to the ct scan was warm friendly and competent,the service from the front desk right through to the ct scan be warm friendly and competent,the servic from the front desk right through to the ct scan be warm friend and compet,"('the', 'servic'), ('servic', 'from'), ('from', 'the'), ('the', 'front'), ('front', 'desk'), ('desk', 'right'), ('right', 'through'), ('through', 'to'), ('to', 'the'), ('the', 'ct'), ('ct', 'scan'), ('scan', 'be'), ('be', 'warm'), ('warm', 'friend'), ('friend', 'and'), ('and', 'compet')","('the', 'servic', 'from'), ('servic', 'from', 'the'), ('from', 'the', 'front'), ('the', 'front', 'desk'), ('front', 'desk', 'right'), ('desk', 'right', 'through'), ('right', 'through', 'to'), ('through', 'to', 'the'), ('to', 'the', 'ct'), ('the', 'ct', 'scan'), ('ct', 'scan', 'be'), ('scan', 'be', 'warm'), ('be', 'warm', 'friend'), ('warm', 'friend', 'and'), ('friend', 'and', 'compet')"
advanced radiology made me feel so comfortable and at ease their level of knowledge is unmatched and rewarding thanks for your professionalism and care,advanced radiology made me feel so comfortable and at ease their level of knowledge is unmatched and rewarding thanks for your professionalism and care,advanced radiology make I feel so comfortable and at ease their level of knowledge be unmatched and rewarding thank for your professionalism and care,advanc radiolog make i feel so comfort and at eas their level of knowledg be unmatch and reward thank for your profession and care,"('advanc', 'radiolog'), ('radiolog', 'make'), ('make', 'i'), ('i', 'feel'), ('feel', 'so'), ('so', 'comfort'), ('comfort', 'and'), ('and', 'at'), ('at', 'eas'), ('eas', 'their'), ('their', 'level'), ('level', 'of'), ('of', 'knowledg'), ('knowledg', 'be'), ('be', 'unmatch'), ('unmatch', 'and'), ('and', 'reward'), ('reward', 'thank'), ('thank', 'for'), ('for', 'your'), ('your', 'profession'), ('profession', 'and'), ('and', 'care')","('advanc', 'radiolog', 'make'), ('radiolog', 'make', 'i'), ('make', 'i', 'feel'), ('i', 'feel', 'so'), ('feel', 'so', 'comfort'), ('so', 'comfort', 'and'), ('comfort', 'and', 'at'), ('and', 'at', 'eas'), ('at', 'eas', 'their'), ('eas', 'their', 'level'), ('their', 'level', 'of'), ('level', 'of', 'knowledg'), ('of', 'knowledg', 'be'), ('knowledg', 'be', 'unmatch'), ('be', 'unmatch', 'and'), ('unmatch', 'and', 'reward'), ('and', 'reward', 'thank'), ('reward', 'thank', 'for'), ('thank', 'for', 'your'), ('for', 'your', 'profession'), ('your', 'profession', 'and'), ('profession', 'and', 'care')"
i thank you so much for your excellent care elaine greenwald,i thank you so much for your excellent care elaine greenwald,I thank you so much for your excellent care elaine greenwald,i thank you so much for your excel care elain greenwald,"('i', 'thank'), ('thank', 'you'), ('you', 'so'), ('so', 'much'), ('much', 'for'), ('for', 'your'), ('your', 'excel'), ('excel', 'care'), ('care', 'elain'), ('elain', 'greenwald')","('i', 'thank', 'you'), ('thank', 'you', 'so'), ('you', 'so', 'much'), ('so', 'much', 'for'), ('much', 'for', 'your'), ('for', 'your', 'excel'), ('your', 'excel', 'care'), ('excel', 'care', 'elain'), ('care', 'elain', 'greenwald')"
important to share that when i was checking in there was also a woman checking in for her st mammogram the woman behind the desk was speaking loudly to co worker about an issue w the womans insurance she was irritated did not care the co worker attempted to whisper but the other did not catch on the irritated womans,important to share that when i was checking in there was also a woman checking in for her st mammogram the woman behind the desk was speaking loudly to co worker about an issue w the womans insurance she was irritated did not care the co worker attempted to whisper but the other did not catch on the irritated womans,important to share that when I be check in there be also a woman check in for her st mammogram the woman behind the desk be speak loudly to co worker about an issue w the womans insurance she be irritated do not care the co worker attempt to whisper but the other do not catch on the irritated woman,import to share that when i be check in there be also a woman check in for her st mammogram the woman behind the desk be speak loud to co worker about an issu w the woman insur she be irrit do not care the co worker attempt to whisper but the other do not catch on the irrit woman,"('import', 'to'), ('to', 'share'), ('share', 'that'), ('that', 'when'), ('when', 'i'), ('i', 'be'), ('be', 'check'), ('check', 'in'), ('in', 'there'), ('there', 'be'), ('be', 'also'), ('also', 'a'), ('a', 'woman'), ('woman', 'check'), ('check', 'in'), ('in', 'for'), ('for', 'her'), ('her', 'st'), ('st', 'mammogram'), ('mammogram', 'the'), ('the', 'woman'), ('woman', 'behind'), ('behind', 'the'), ('the', 'desk'), ('desk', 'be'), ('be', 'speak'), ('speak', 'loud'), ('loud', 'to'), ('to', 'co'), ('co', 'worker'), ('worker', 'about'), ('about', 'an'), ('an', 'issu'), ('issu', 'w'), ('w', 'the'), ('the', 'woman'), ('woman', 'insur'), ('insur', 'she'), ('she', 'be'), ('be', 'irrit'), ('irrit', 'do'), ('do', 'not'), ('not', 'care'), ('care', 'the'), ('the', 'co'), ('co', 'worker'), ('worker', 'attempt'), ('attempt', 'to'), ('to', 'whisper'), ('whisper', 'but'), ('but', 'the'), ('the', 'other'), ('other', 'do'), ('do', 'not'), ('not', 'catch'), ('catch', 'on'), ('on', 'the'), ('the', 'irrit'), ('irrit', 'woman')","('import', 'to', 'share'), ('to', 'share', 'that'), ('share', 'that', 'when'), ('that', 'when', 'i'), ('when', 'i', 'be'), ('i', 'be', 'check'), ('be', 'check', 'in'), ('check', 'in', 'there'), ('in', 'there', 'be'), ('there', 'be', 'also'), ('be', 'also', 'a'), ('also', 'a', 'woman'), ('a', 'woman', 'check'), ('woman', 'check', 'in'), ('check', 'in', 'for'), ('in', 'for', 'her'), ('for', 'her', 'st'), ('her', 'st', 'mammogram'), ('st', 'mammogram', 'the'), ('mammogram', 'the', 'woman'), ('the', 'woman', 'behind'), ('woman', 'behind', 'the'), ('behind', 'the', 'desk'), ('the', 'desk', 'be'), ('desk', 'be', 'speak'), ('be', 'speak', 'loud'), ('speak', 'loud', 'to'), ('loud', 'to', 'co'), ('to', 'co', 'worker'), ('co', 'worker', 'about'), ('worker', 'about', 'an'), ('about', 'an', 'issu'), ('an', 'issu', 'w'), ('issu', 'w', 'the'), ('w', 'the', 'woman'), ('the', 'woman', 'insur'), ('woman', 'insur', 'she'), ('insur', 'she', 'be'), ('she', 'be', 'irrit'), ('be', 'irrit', 'do'), ('irrit', 'do', 'not'), ('do', 'not', 'care'), ('not', 'care', 'the'), ('care', 'the', 'co'), ('the', 'co', 'worker'), ('co', 'worker', 'attempt'), ('worker', 'attempt', 'to'), ('attempt', 'to', 'whisper'), ('to', 'whisper', 'but'), ('whisper', 'but', 'the'), ('but', 'the', 'other'), ('the', 'other', 'do'), ('other', 'do', 'not'), ('do', 'not', 'catch'), ('not', 'catch', 'on'), ('catch', 'on', 'the'), ('on', 'the', 'irrit'), ('the', 'irrit', 'woman')"
the lady who too my xrays was one of the nicest and most efficient technician had in quite a while,the lady who too my xrays was one of the nicest and most efficient technician had in quite a while,the lady who too my xray be one of the nice and most efficient technician have in quite a while,the ladi who too my xray be one of the nice and most effici technician have in quit a while,"('the', 'ladi'), ('ladi', 'who'), ('who', 'too'), ('too', 'my'), ('my', 'xray'), ('xray', 'be'), ('be', 'one'), ('one', 'of'), ('of', 'the'), ('the', 'nice'), ('nice', 'and'), ('and', 'most'), ('most', 'effici'), ('effici', 'technician'), ('technician', 'have'), ('have', 'in'), ('in', 'quit'), ('quit', 'a'), ('a', 'while')","('the', 'ladi', 'who'), ('ladi', 'who', 'too'), ('who', 'too', 'my'), ('too', 'my', 'xray'), ('my', 'xray', 'be'), ('xray', 'be', 'one'), ('be', 'one', 'of'), ('one', 'of', 'the'), ('of', 'the', 'nice'), ('the', 'nice', 'and'), ('nice', 'and', 'most'), ('and', 'most', 'effici'), ('most', 'effici', 'technician'), ('effici', 'technician', 'have'), ('technician', 'have', 'in'), ('have', 'in', 'quit'), ('in', 'quit', 'a'), ('quit', 'a', 'while')"
staff were thoughtful making my mri a pleasant experience thank you,staff were thoughtful making my mri a pleasant experience thank you,staff be thoughtful make my mri a pleasant experience thank you,staff be thought make my mri a pleasant experi thank you,"('staff', 'be'), ('be', 'thought'), ('thought', 'make'), ('make', 'my'), ('my', 'mri'), ('mri', 'a'), ('a', 'pleasant'), ('pleasant', 'experi'), ('experi', 'thank'), ('thank', 'you')","('staff', 'be', 'thought'), ('be', 'thought', 'make'), ('thought', 'make', 'my'), ('make', 'my', 'mri'), ('my', 'mri', 'a'), ('mri', 'a', 'pleasant'), ('a', 'pleasant', 'experi'), ('pleasant', 'experi', 'thank'), ('experi', 'thank', 'you')"
thought that wendi who did my ultra sound was very pleasant she apologized for running late,thought that wendi who did my ultra sound was very pleasant she apologized for running late,think that wendi who do my ultra sound be very pleasant she apologize for run late,think that wendi who do my ultra sound be veri pleasant she apolog for run late,"('think', 'that'), ('that', 'wendi'), ('wendi', 'who'), ('who', 'do'), ('do', 'my'), ('my', 'ultra'), ('ultra', 'sound'), ('sound', 'be'), ('be', 'veri'), ('veri', 'pleasant'), ('pleasant', 'she'), ('she', 'apolog'), ('apolog', 'for'), ('for', 'run'), ('run', 'late')","('think', 'that', 'wendi'), ('that', 'wendi', 'who'), ('wendi', 'who', 'do'), ('who', 'do', 'my'), ('do', 'my', 'ultra'), ('my', 'ultra', 'sound'), ('ultra', 'sound', 'be'), ('sound', 'be', 'veri'), ('be', 'veri', 'pleasant'), ('veri', 'pleasant', 'she'), ('pleasant', 'she', 'apolog'), ('she', 'apolog', 'for'), ('apolog', 'for', 'run'), ('for', 'run', 'late')"
nice team easy check in my only complaint is that the waiting room is a little chilly but thank you for the service,nice team easy check in my only complaint is that the waiting room is a little chilly but thank you for the service,nice team easy check in my only complaint be that the waiting room be a little chilly but thank you for the service,nice team easi check in my onli complaint be that the wait room be a littl chilli but thank you for the servic,"('nice', 'team'), ('team', 'easi'), ('easi', 'check'), ('check', 'in'), ('in', 'my'), ('my', 'onli'), ('onli', 'complaint'), ('complaint', 'be'), ('be', 'that'), ('that', 'the'), ('the', 'wait'), ('wait', 'room'), ('room', 'be'), ('be', 'a'), ('a', 'littl'), ('littl', 'chilli'), ('chilli', 'but'), ('but', 'thank'), ('thank', 'you'), ('you', 'for'), ('for', 'the'), ('the', 'servic')","('nice', 'team', 'easi'), ('team', 'easi', 'check'), ('easi', 'check', 'in'), ('check', 'in', 'my'), ('in', 'my', 'onli'), ('my', 'onli', 'complaint'), ('onli', 'complaint', 'be'), ('complaint', 'be', 'that'), ('be', 'that', 'the'), ('that', 'the', 'wait'), ('the', 'wait', 'room'), ('wait', 'room', 'be'), ('room', 'be', 'a'), ('be', 'a', 'littl'), ('a', 'littl', 'chilli'), ('littl', 'chilli', 'but'), ('chilli', 'but', 'thank'), ('but', 'thank', 'you'), ('thank', 'you', 'for'), ('you', 'for', 'the'), ('for', 'the', 'servic')"
very kind,very kind,very kind,veri kind,"('veri', 'kind')",
i came in for three separate tests one after the other all staff were friendly at am when i started and the mri technician was especially comforting by keeping me informed of the testing progress,i came in for three separate tests one after the other all staff were friendly at am when i started and the mri technician was especially comforting by keeping me informed of the testing progress,I come in for three separate test one after the other all staff be friendly at am when I start and the mri technician be especially comfort by keep I inform of the testing progress,i come in for three separ test one after the other all staff be friend at am when i start and the mri technician be especi comfort by keep i inform of the test progress,"('i', 'come'), ('come', 'in'), ('in', 'for'), ('for', 'three'), ('three', 'separ'), ('separ', 'test'), ('test', 'one'), ('one', 'after'), ('after', 'the'), ('the', 'other'), ('other', 'all'), ('all', 'staff'), ('staff', 'be'), ('be', 'friend'), ('friend', 'at'), ('at', 'am'), ('am', 'when'), ('when', 'i'), ('i', 'start'), ('start', 'and'), ('and', 'the'), ('the', 'mri'), ('mri', 'technician'), ('technician', 'be'), ('be', 'especi'), ('especi', 'comfort'), ('comfort', 'by'), ('by', 'keep'), ('keep', 'i'), ('i', 'inform'), ('inform', 'of'), ('of', 'the'), ('the', 'test'), ('test', 'progress')","('i', 'come', 'in'), ('come', 'in', 'for'), ('in', 'for', 'three'), ('for', 'three', 'separ'), ('three', 'separ', 'test'), ('separ', 'test', 'one'), ('test', 'one', 'after'), ('one', 'after', 'the'), ('after', 'the', 'other'), ('the', 'other', 'all'), ('other', 'all', 'staff'), ('all', 'staff', 'be'), ('staff', 'be', 'friend'), ('be', 'friend', 'at'), ('friend', 'at', 'am'), ('at', 'am', 'when'), ('am', 'when', 'i'), ('when', 'i', 'start'), ('i', 'start', 'and'), ('start', 'and', 'the'), ('and', 'the', 'mri'), ('the', 'mri', 'technician'), ('mri', 'technician', 'be'), ('technician', 'be', 'especi'), ('be', 'especi', 'comfort'), ('especi', 'comfort', 'by'), ('comfort', 'by', 'keep'), ('by', 'keep', 'i'), ('keep', 'i', 'inform'), ('i', 'inform', 'of'), ('inform', 'of', 'the'), ('of', 'the', 'test'), ('the', 'test', 'progress')"
